category,PM2.5 1,PM2.5 2
2023-06-25T19:55:00.000Z,5,5
2023-06-25T19:57:00.000Z,5,7
2023-06-25T19:59:00.000Z,6,6
2023-06-25T20:01:00.000Z,6,7
2023-06-25T20:03:00.000Z,7,4
2023-06-25T20:05:00.000Z,6,6
2023-06-25T20:07:00.000Z,4,4
2023-06-25T20:09:00.000Z,7,6
2023-06-25T20:11:00.000Z,4,4
2023-06-25T20:13:00.000Z,5,7
2023-06-25T20:15:00.000Z,6,5
2023-06-25T20:17:00.000Z,6,4
2023-06-25T20:19:00.000Z,4,6
2023-06-25T20:23:00.000Z,6,4
2023-06-25T20:25:00.000Z,6,5
2023-06-25T20:27:00.000Z,7,6
2023-06-25T20:29:00.000Z,5,5
2023-06-25T20:30:00.000Z,4,5
2023-06-25T20:33:00.000Z,4,5
2023-06-25T20:35:00.000Z,6,6
2023-06-25T20:38:00.000Z,4,5
2023-06-25T20:40:00.000Z,4,5
2023-06-25T20:42:00.000Z,5,5
2023-06-25T20:44:00.000Z,5,7
2023-06-25T20:46:00.000Z,5,4
2023-06-25T20:48:00.000Z,5,6
2023-06-25T20:52:00.000Z,5,6
2023-06-25T20:54:00.000Z,5,5
2023-06-25T20:56:00.000Z,5,5
2023-06-25T20:58:00.000Z,5,5
2023-06-25T21:00:00.000Z,5,6
2023-06-25T21:02:00.000Z,6,5
2023-06-25T21:03:00.000Z,6,5
2023-06-25T21:05:00.000Z,5,5
2023-06-25T21:07:00.000Z,5,4
2023-06-25T21:09:00.000Z,5,5
2023-06-25T21:11:00.000Z,6,5
2023-06-25T21:13:00.000Z,5,6
2023-06-25T21:15:00.000Z,5,5
2023-06-25T21:17:00.000Z,8,6
2023-06-25T21:21:00.000Z,5,5
2023-06-25T21:23:00.000Z,6,5
2023-06-25T21:25:00.000Z,6,5
2023-06-25T21:27:00.000Z,4,4
2023-06-25T21:28:00.000Z,6,7
2023-06-25T21:30:00.000Z,4,4
2023-06-25T21:32:00.000Z,5,6
2023-06-25T21:36:00.000Z,5,5
2023-06-25T21:38:00.000Z,5,6
2023-06-25T21:40:00.000Z,5,5
2023-06-25T21:42:00.000Z,6,5
2023-06-25T21:44:00.000Z,6,6
2023-06-25T21:46:00.000Z,6,6
2023-06-25T21:50:00.000Z,5,6
2023-06-25T21:52:00.000Z,7,6
2023-06-25T21:54:00.000Z,6,5
2023-06-25T21:56:00.000Z,7,5
2023-06-25T21:58:00.000Z,7,6
2023-06-25T22:00:00.000Z,6,6
2023-06-25T22:02:00.000Z,7,7
2023-06-25T22:03:00.000Z,6,6
2023-06-25T22:05:00.000Z,5,5
2023-06-25T22:07:00.000Z,6,7
2023-06-25T22:11:00.000Z,5,7
2023-06-25T22:13:00.000Z,7,6
2023-06-25T22:17:00.000Z,7,7
2023-06-25T22:19:00.000Z,6,6
2023-06-25T22:21:00.000Z,8,6
2023-06-25T22:25:00.000Z,7,6
2023-06-25T22:27:00.000Z,6,7
2023-06-25T22:29:00.000Z,5,6
2023-06-25T22:33:00.000Z,7,8
2023-06-25T22:34:00.000Z,6,7
2023-06-25T22:36:00.000Z,7,4
2023-06-25T22:40:00.000Z,6,6
2023-06-25T22:42:00.000Z,6,4
2023-06-25T22:44:00.000Z,5,7
2023-06-25T22:46:00.000Z,7,5
2023-06-25T22:48:00.000Z,7,6
2023-06-25T22:50:00.000Z,4,5
2023-06-25T22:52:00.000Z,7,6
2023-06-25T22:54:00.000Z,6,6
2023-06-25T22:56:00.000Z,5,5
2023-06-25T22:58:00.000Z,6,7
2023-06-25T23:02:00.000Z,5,6
2023-06-25T23:04:00.000Z,5,5
2023-06-25T23:06:00.000Z,4,6
2023-06-25T23:07:00.000Z,6,5
2023-06-25T23:09:00.000Z,7,6
2023-06-25T23:11:00.000Z,5,6
2023-06-25T23:15:00.000Z,5,7
2023-06-25T23:17:00.000Z,6,6
2023-06-25T23:19:00.000Z,6,6
2023-06-25T23:21:00.000Z,6,5
2023-06-25T23:25:00.000Z,6,5
2023-06-25T23:27:00.000Z,6,5
2023-06-25T23:29:00.000Z,5,6
2023-06-25T23:31:00.000Z,6,7
2023-06-25T23:33:00.000Z,6,7
2023-06-25T23:35:00.000Z,6,5
2023-06-25T23:39:00.000Z,6,6
2023-06-25T23:41:00.000Z,6,6
2023-06-25T23:45:00.000Z,7,4
2023-06-25T23:47:00.000Z,6,7
2023-06-25T23:49:00.000Z,5,6
2023-06-25T23:51:00.000Z,5,6
2023-06-25T23:53:00.000Z,6,7
2023-06-25T23:55:00.000Z,5,6
2023-06-25T23:59:00.000Z,6,5
2023-06-26T00:01:00.000Z,7,8
2023-06-26T00:05:00.000Z,6,7
2023-06-26T00:07:00.000Z,7,5
2023-06-26T00:09:00.000Z,6,6
2023-06-26T00:10:00.000Z,5,5
2023-06-26T00:14:00.000Z,7,7
2023-06-26T00:16:00.000Z,6,8
2023-06-26T00:18:00.000Z,6,5
2023-06-26T00:20:00.000Z,6,7
2023-06-26T00:24:00.000Z,7,6
2023-06-26T00:26:00.000Z,7,6
2023-06-26T00:28:00.000Z,7,5
2023-06-26T00:30:00.000Z,7,6
2023-06-26T00:32:00.000Z,7,6
2023-06-26T00:36:00.000Z,6,5
2023-06-26T00:38:00.000Z,6,7
2023-06-26T00:40:00.000Z,3,5
2023-06-26T00:42:00.000Z,6,7
2023-06-26T00:46:00.000Z,5,5
2023-06-26T00:48:00.000Z,6,6
2023-06-26T00:52:00.000Z,7,6
2023-06-26T00:53:00.000Z,7,6
2023-06-26T00:57:00.000Z,7,4
2023-06-26T01:02:00.000Z,5,5
2023-06-26T01:06:00.000Z,6,5
2023-06-26T01:08:00.000Z,7,7
2023-06-26T01:09:00.000Z,7,5
2023-06-26T01:11:00.000Z,6,6
2023-06-26T01:13:00.000Z,5,6
2023-06-26T01:17:00.000Z,4,6
2023-06-26T01:19:00.000Z,7,6
2023-06-26T01:23:00.000Z,5,4
2023-06-26T01:25:00.000Z,5,4
2023-06-26T01:27:00.000Z,4,5
2023-06-26T01:29:00.000Z,3,4
2023-06-26T01:30:00.000Z,4,4
2023-06-26T01:32:00.000Z,5,4
2023-06-26T01:34:00.000Z,4,4
2023-06-26T01:36:00.000Z,3,5
2023-06-26T01:38:00.000Z,4,4
2023-06-26T01:40:00.000Z,3,4
2023-06-26T01:42:00.000Z,4,3
2023-06-26T01:44:00.000Z,4,4
2023-06-26T01:46:00.000Z,4,2
2023-06-26T01:48:00.000Z,2,2
2023-06-26T01:52:00.000Z,2,3
2023-06-26T01:53:00.000Z,2,2
2023-06-26T01:55:00.000Z,4,2
2023-06-26T01:59:00.000Z,4,3
2023-06-26T02:01:00.000Z,3,3
2023-06-26T02:03:00.000Z,4,5
2023-06-26T02:05:00.000Z,4,3
2023-06-26T02:07:00.000Z,5,3
2023-06-26T02:09:00.000Z,4,2
2023-06-26T02:11:00.000Z,5,3
2023-06-26T02:13:00.000Z,4,2
2023-06-26T02:15:00.000Z,4,4
2023-06-26T02:19:00.000Z,3,3
2023-06-26T02:20:00.000Z,3,4
2023-06-26T02:22:00.000Z,3,3
2023-06-26T02:24:00.000Z,4,5
2023-06-26T02:26:00.000Z,4,3
2023-06-26T02:28:00.000Z,4,2
2023-06-26T02:30:00.000Z,3,3
2023-06-26T02:32:00.000Z,4,3
2023-06-26T02:34:00.000Z,3,4
2023-06-26T02:36:00.000Z,4,2
2023-06-26T02:38:00.000Z,4,6
2023-06-26T02:39:00.000Z,6,5
2023-06-26T02:41:00.000Z,4,3
2023-06-26T02:43:00.000Z,5,5
2023-06-26T02:45:00.000Z,4,5
2023-06-26T02:49:00.000Z,5,6
2023-06-26T02:51:00.000Z,4,5
2023-06-26T02:53:00.000Z,4,5
2023-06-26T02:55:00.000Z,4,4
2023-06-26T02:57:00.000Z,4,5
2023-06-26T02:59:00.000Z,4,7
2023-06-26T03:01:00.000Z,3,4
2023-06-26T03:02:00.000Z,4,4
2023-06-26T03:04:00.000Z,4,5
2023-06-26T03:06:00.000Z,4,3
2023-06-26T03:10:00.000Z,5,6
2023-06-26T03:12:00.000Z,6,4
2023-06-26T03:14:00.000Z,6,7
2023-06-26T03:16:00.000Z,6,6
2023-06-26T03:18:00.000Z,5,8
2023-06-26T03:20:00.000Z,7,6
2023-06-26T03:21:00.000Z,7,6
2023-06-26T03:23:00.000Z,6,8
